排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb
208,600000,浦发银行,0.41,9.1,9.18,4.5054945054945055,4.466230936819172,0.0392635686753335,,,,
209,603899,晨光股份,1,22.25,22.44,4.49438202247191,4.45632798573975,0.0380540367321602,,,,
210,601000,唐山港,0.2,4.47,4.53,4.47427293064877,4.415011037527594,0.0592618931211754,,,,
211,600017,日照港,0.119,2.66,2.67,4.473684210526315,4.456928838951311,0.0167553715750043,,,,
212,002594,比亚迪,3.974,88.9,89.71,4.470191226096738,4.429829450451455,0.0403617756452829,,,,
213,000550,江铃汽车,0.71914,16.09,16.11,4.469484151646986,4.463935443823712,0.0055487078232738,,,,
214,603368,柳药集团,0.751,16.81,16.91,4.467578822129685,4.441159077468954,0.026419744660731,,,,
215,600720,中交设计,0.229,5.14,5.17,4.455252918287938,4.429400386847195,0.0258525314407425,,,,
216,600282,南钢股份,0.2036,4.59,4.62,4.435729847494554,4.406926406926407,0.0288034405681472,,,,
217,601857,中国石油,0.47,10.66,10.56,4.409005628517824,4.450757575757576,-0.041751947,,,,
218,002116,中国海诚,0.3093789999999999,7.11,7.14,4.351322081575246,4.333039215686274,0.0182828658889722,,,,
