排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb,,,,
138,002705,新宝股份,0.6,12.06,12.31,4.975124378109452,4.8740861088545895,0.10103826925486281,,,,,,,,
139,603788,宁波高发,0.7,14.08,14.2,4.971590909090909,4.929577464788732,0.04201344430217713,,,,,,,,
140,000719,中原传媒,0.6,12.13,12.38,4.9464138499587795,4.846526655896607,0.09988719406217239,,,,,,,,
141,688516,奥特维,2.1,42.46,40.88,4.945831370701837,5.136986301369863,-0.191154931,,,,,,,,
142,002267,陕天然气,0.35,7.08,7.16,4.943502824858757,4.888268156424581,0.055234668434176015,,,,,,,,
143,600035,楚天高速,0.16999999999999998,3.44,3.47,4.941860465116279,4.899135446685878,0.04272501843040111,,,,,,,,
144,000088,盐田港,0.218,4.44,4.47,4.90990990990991,4.876957494407159,0.03295241550275119,,,,,,,,
145,600039,四川路桥,0.40900000000000003,8.34,8.54,4.904076738609113,4.789227166276348,0.1148495723327656,,,,,,,,
146,600210,紫江企业,0.3,6.12,6.15,4.901960784313726,4.878048780487805,0.02391200382592107,,,,,,,,
147,300529,健帆生物,0.8,16.38,17.82,4.884004884004884,4.489337822671156,0.3946670613337284,,,,,,,,
148,603299,苏盐井神,0.44299999999999995,9.08,9.14,4.878854625550661,4.846827133479211,0.032027492071449615,,,,,,,,
149,600660,福耀玻璃,2.7,55.4,56.05,4.8736462093862825,4.817127564674398,0.05651864471188439,,,,,,,,
150,601186,中国铁建,0.3,6.16,6.2,4.87012987012987,4.838709677419355,0.03142019271051488,,,,,,,,
151,002318,久立特材,0.97,19.97,19.89,4.85728592889334,4.876822523881348,-0.019536595,,,,,,,,
152,002043,兔宝宝,0.6,12.38,12.65,4.846526655896607,4.743083003952568,0.1034436519440387,,,,,,,,
153,600750,华润江中,1.2,24.77,25,4.844570044408559,4.8,0.04457004440855883,,,,,,,,
154,603948,建业股份,1,20.68,20.5,4.835589941972921,4.878048780487805,-0.042458839,,,,,,,,
155,603408,建霖家居,0.5,10.34,10.54,4.835589941972921,4.743833017077799,0.09175692489512155,,,,,,,,
156,603871,嘉友国际,0.6000000000000001,12.42,12.77,4.830917874396136,4.698512137823023,0.13240573657311305,,,,,,,,
157,601998,中信银行,0.36019999999999996,7.46,7.55,4.828418230563003,4.7708609271523175,0.0575573034106851,,,,,,,,
158,603600,永艺股份,0.45999999999999996,9.53,9.56,4.826862539349422,4.8117154811715475,0.015147058177874761,,,,,,,,
159,601318,中国平安,2.57,53.38,53.5,4.8145372798801045,4.803738317757009,0.01079896212309528,,,,,,,,
160,600997,开滦股份,0.26,5.41,5.56,4.805914972273567,4.6762589928057565,0.1296559794678105,,,,,,,,
161,603368,柳药集团,0.751,15.63,15.51,4.804862444017914,4.842037395228885,-0.037174951,,,,,,,,
162,000333,美的集团,4,83.5,85.32,4.790419161676647,4.688232536333802,0.10218662534284473,,,,,,,,
163,000828,东莞控股,0.475,9.94,9.96,4.778672032193159,4.769076305220883,0.009595726972275287,,,,,,,,
164,000423,东阿阿胶,2.5430815000000004,53.4,53.85,4.762324906367042,4.7225283194057575,0.03979658696128485,,,,,,,,
165,000786,北新建材,0.865,18.19,18.51,4.755360087960417,4.673149648838465,0.08221043912195203,,,,,,,,
166,300896,爱美客,5,105.26,102.6,4.750142504275128,4.873294346978558,-0.123151843,,,,,,,,
167,300349,金卡智能,0.5,10.53,10.57,4.748338081671415,4.730368968779565,0.017969112891849548,,,,,,,,
168,603639,海利尔,0.5,10.54,10.61,4.743833017077799,4.71253534401508,0.0312976730627188,,,,,,,,
169,600027,华电国际,0.22,4.67,4.69,4.710920770877944,4.6908315565031975,0.020089214374746867,,,,,,,,
170,600066,宇通客车,1.5,31.9,32.33,4.702194357366771,4.639653572533251,0.06254078483352021,,,,,,,,
171,603706,东方环宇,0.9,19.15,19.05,4.699738903394256,4.724409448818897,-0.024670545,,,,,,,,
172,000625,长安汽车,0.34500000000000003,7.35,7.38,4.6938775510204085,4.674796747967481,0.01908080305292792,,,,,,,,
173,601225,陕西煤业,1.1749999999999998,25.04,24.88,4.692492012779552,4.722668810289388,-0.030176798,,,,,,,,
174,601900,南方传媒,0.55,11.73,11.79,4.6888320545609545,4.664970313825276,0.02386174073567826,,,,,,,,
175,002332,仙琚制药,0.4,8.54,8.46,4.683840749414521,4.7281323877068555,-0.044291638,,,,,,,,
176,601555,东吴证券,0.375,8.03,8,4.669987546699876,4.6875,-0.017512453,,,,,,,,
177,600863,华能蒙电,0.22000000000000003,4.72,4.73,4.661016949152543,4.651162790697675,0.009854158454868589,,,,,,,,
178,600887,伊利股份,1.22,26.21,26.32,4.654711942006867,4.635258358662614,0.01945358334425329,,,,,,,,
